Block,Row,Col,X,Y,Label,X_start,X_stop,Y_start,Y_stop
B7,6,2,97.47,154.0,LD20-4471,94.05125,100.88875,150.0,158.0
B7,6,3,104.31,154.0,AG29XF5,100.89125,107.72875,150.0,158.0
B7,6,4,111.14,154.0,LD21-7234,107.72125,114.55875,150.0,158.0
B7,7,0,83.79,164.0,AG29XF4,80.37125,87.20875000000001,160.0,168.0
B7,7,1,90.63,164.0,LD11-2170,87.21124999999999,94.04875,160.0,168.0
B7,7,2,97.47,164.0,AG29XF5,94.05125,100.88875,160.0,168.0
B7,7,3,104.31,164.0,LD20-5413,100.89125,107.72875,160.0,168.0
B7,7,4,111.14,164.0,AG29XF4,107.72125,114.55875,160.0,168.0
B8,0,0,119.23,94.0,LD17-10473L,115.81125,122.64875,90.0,98.0
B8,0,1,126.07,94.0,LG3216,122.65124999999999,129.48874999999998,90.0,98.0
B8,0,2,132.91,94.0,LD20-4988,129.49125,136.32874999999999,90.0,98.0
B8,0,3,139.74,94.0,LG3216,136.32125000000002,143.15875,90.0,98.0
B8,0,4,146.58,94.0,LD20-5738,143.16125000000002,149.99875,90.0,98.0
B8,1,0,119.23,104.0,LG3216,115.81125,122.64875,100.0,108.0
B8,1,1,126.07,104.0,LD19-10076,122.65124999999999,129.48874999999998,100.0,108.0
B8,1,2,132.91,104.0,LG3216,129.49125,136.32874999999999,100.0,108.0
B8,1,3,139.74,104.0,LD20-11748,136.32125000000002,143.15875,100.0,108.0
B8,1,4,146.58,104.0,LG3216,143.16125000000002,149.99875,100.0,108.0
B8,2,0,119.23,114.0,LD21-5991,115.81125,122.64875,110.0,118.0
B8,2,1,126.07,114.0,LG3216,122.65124999999999,129.48874999999998,110.0,118.0
B8,2,2,132.91,114.0,LD21-5253,129.49125,136.32874999999999,110.0,118.0
B8,2,3,139.74,114.0,LG3216,136.32125000000002,143.15875,110.0,118.0
B8,2,4,146.58,114.0,LD17-10473F,143.16125000000002,149.99875,110.0,118.0
B8,3,0,119.23,124.0,LG3216,115.81125,122.64875,120.0,128.0
B8,3,1,126.07,124.0,LD21-3090,122.65124999999999,129.48874999999998,120.0,128.0
B8,3,2,132.91,124.0,LG3216,129.49125,136.32874999999999,120.0,128.0
B8,3,3,139.74,124.0,LD21-5665,136.32125000000002,143.15875,120.0,128.0
B8,3,4,146.58,124.0,LG3216,143.16125000000002,149.99875,120.0,128.0
B8,4,0,119.23,134.0,LD20-4471,115.81125,122.64875,130.0,138.0
B8,4,1,126.07,134.0,LG3216,122.65124999999999,129.48874999999998,130.0,138.0
B8,4,2,132.91,134.0,LD20-4542,129.49125,136.32874999999999,130.0,138.0
B8,4,3,139.74,134.0,LG3216,136.32125000000002,143.15875,130.0,138.0
B8,4,4,146.58,134.0,LD21-5944,143.16125000000002,149.99875,130.0,138.0
B8,5,0,119.23,144.0,LG3216,115.81125,122.64875,140.0,148.0
B8,5,1,126.07,144.0,LD20-5413,122.65124999999999,129.48874999999998,140.0,148.0
